trip_id,arrival_time,departure_time,pickup_type,drop_off_type,stop_id,stop_sequence
L01_26_0,14:14:00,14:14:00,1,,ECSA:8,8
L01_26_0,14:15:00,14:15:00,1,,ECSA:9,9
L01_26_0,14:16:00,14:16:00,1,,118,10
L01_26_0,14:17:00,14:17:00,,,ECSA:11,11
L01_27_0,14:30:00,14:30:00,,,ECSA:1,1
L01_27_0,14:31:00,14:31:00,,,ECSA:2,2
L01_27_0,14:34:00,14:34:00,,,ECSA:3,3
L01_27_0,14:35:00,14:35:00,,,ECSA:4,4
L01_27_0,14:40:00,14:40:00,,,ECSA:5,5
L01_27_0,14:41:00,14:41:00,,,ECSA:6,6
L01_27_0,14:43:00,14:43:00,,,ECSA:7,7
L01_27_0,14:44:00,14:44:00,1,,ECSA:8,8
L01_27_0,14:45:00,14:45:00,1,,ECSA:9,9
L01_27_0,14:46:00,14:46:00,1,,118,10
L01_27_0,14:47:00,14:47:00,,,ECSA:11,11
L01_27_0,14:48:00,14:48:00,,,VA:1,12
L01_28_0,15:00:00,15:00:00,,,ECSA:1,1
L01_28_0,15:01:00,15:01:00,,,ECSA:2,2
L01_28_0,15:04:00,15:04:00,,,ECSA:3,3
L01_28_0,15:05:00,15:05:00,,,ECSA:4,4
L01_28_0,15:10:00,15:10:00,,,ECSA:5,5
L01_28_0,15:11:00,15:11:00,,,ECSA:6,6
L01_28_0,15:13:00,15:13:00,,,ECSA:7,7
L01_28_0,15:14:00,15:14:00,1,,ECSA:8,8
L01_28_0,15:15:00,15:15:00,1,,ECSA:9,9
L01_28_0,15:16:00,15:16:00,1,,118,10
L01_28_0,15:17:00,15:17:00,,,ECSA:11,11
L01_28_0,15:18:00,15:18:00,,,VA:1,12
L01_30_0,15:30:00,15:30:00,,,ECSA:1,1
L01_30_0,15:31:00,15:31:00,,,ECSA:2,2
L01_30_0,15:34:00,15:34:00,,,ECSA:3,3
L01_30_0,15:35:00,15:35:00,,,ECSA:4,4
L01_30_0,15:40:00,15:40:00,,,ECSA:5,5
L01_30_0,15:41:00,15:41:00,,,ECSA:6,6
L01_30_0,15:43:00,15:43:00,,,ECSA:7,7
L01_30_0,15:44:00,15:44:00,1,,ECSA:8,8
L01_30_0,15:45:00,15:45:00,1,,ECSA:9,9
L01_30_0,15:46:00,15:46:00,1,,118,10
L01_30_0,15:47:00,15:47:00,,,ECSA:11,11
L01_30_0,15:48:00,15:48:00,,,VA:1,12
L01_31_0,16:00:00,16:00:00,,,ECSA:1,1
L01_31_0,16:01:00,16:01:00,,,ECSA:2,2
L01_31_0,16:04:00,16:04:00,,,ECSA:3,3
L01_31_0,16:05:00,16:05:00,,,ECSA:4,4
L01_31_0,16:10:00,16:10:00,,,ECSA:5,5
L01_31_0,16:11:00,16:11:00,,,ECSA:6,6
L01_31_0,16:13:00,16:13:00,,,ECSA:7,7
L01_31_0,16:14:00,16:14:00,1,,ECSA:8,8
L01_31_0,16:15:00,16:15:00,1,,ECSA:9,9
L01_31_0,16:16:00,16:16:00,1,,118,10
L01_31_0,16:17:00,16:17:00,,,ECSA:11,11
L01_31_0,16:18:00,16:18:00,,,VA:1,12
L01_32_0,16:30:00,16:30:00,,,ECSA:1,1
L01_32_0,16:31:00,16:31:00,,,ECSA:2,2
L01_32_0,16:34:00,16:34:00,,,ECSA:3,3
L01_32_0,16:35:00,16:35:00,,,ECSA:4,4
L01_32_0,16:40:00,16:40:00,,,ECSA:5,5
L01_32_0,16:41:00,16:41:00,,,ECSA:6,6
L01_32_0,16:43:00,16:43:00,,,ECSA:7,7
L01_32_0,16:44:00,16:44:00,1,,ECSA:8,8
L01_32_0,16:45:00,16:45:00,1,,ECSA:9,9
L01_32_0,16:46:00,16:46:00,1,,118,10
L01_32_0,16:47:00,16:47:00,,,ECSA:11,11
L01_32_0,16:48:00,16:48:00,,,VA:1,12
L01_33_0,17:00:00,17:00:00,,,ECSA:1,1
L01_33_0,17:01:00,17:01:00,,,ECSA:2,2
L01_33_0,17:04:00,17:04:00,,,ECSA:3,3
L01_33_0,17:05:00,17:05:00,,,ECSA:4,4
L01_33_0,17:10:00,17:10:00,,,ECSA:5,5
L01_33_0,17:11:00,17:11:00,,,ECSA:6,6
L01_33_0,17:13:00,17:13:00,,,ECSA:7,7
L01_33_0,17:14:00,17:14:00,1,,ECSA:8,8
L01_33_0,17:15:00,17:15:00,1,,ECSA:9,9
L01_33_0,17:16:00,17:16:00,1,,118,10
L01_33_0,17:17:00,17:17:00,,,ECSA:11,11
L01_33_0,17:18:00,17:18:00,,,VA:1,12
L01_34_0,17:30:00,17:30:00,,,ECSA:1,1
L01_34_0,17:31:00,17:31:00,,,ECSA:2,2
L01_34_0,17:34:00,17:34:00,,,ECSA:3,3
L01_34_0,17:35:00,17:35:00,,,ECSA:4,4
L01_34_0,17:40:00,17:40:00,,,ECSA:5,5
L01_34_0,17:41:00,17:41:00,,,ECSA:6,6
L01_34_0,17:43:00,17:43:00,,,ECSA:7,7
L01_34_0,17:44:00,17:44:00,1,,ECSA:8,8
L01_34_0,17:45:00,17:45:00,1,,ECSA:9,9
L01_34_0,17:46:00,17:46:00,1,,118,10
L01_34_0,17:47:00,17:47:00,,,ECSA:11,11
L01_34_0,17:48:00,17:48:00,,,VA:1,12
L01_35_0,18:00:00,18:00:00,,,ECSA:1,1
L01_35_0,18:01:00,18:01:00,,,ECSA:2,2
L01_35_0,18:04:00,18:04:00,,,ECSA:3,3
L01_35_0,18:05:00,18:05:00,,,ECSA:4,4
L01_35_0,18:10:00,18:10:00,,,ECSA:5,5
L01_35_0,18:11:00,18:11:00,,,ECSA:6,6
L01_35_0,18:13:00,18:13:00,,,ECSA:7,7
L01_35_0,18:14:00,18:14:00,1,,ECSA:8,8
L01_35_0,18:15:00,18:15:00,1,,ECSA:9,9
L01_35_0,18:16:00,18:16:00,1,,118,10
L01_35_0,18:17:00,18:17:00,,,ECSA:11,11
L01_35_0,18:18:00,18:18:00,,,VA:1,12
L01_36_0,18:30:00,18:30:00,,,ECSA:1,1
L01_36_0,18:31:00,18:31:00,,,ECSA:2,2
L01_36_0,18:34:00,18:34:00,,,ECSA:3,3
L01_36_0,18:35:00,18:35:00,,,ECSA:4,4
L01_36_0,18:40:00,18:40:00,,,ECSA:5,5
L01_36_0,18:41:00,18:41:00,,,ECSA:6,6
L01_36_0,18:43:00,18:43:00,,,ECSA:7,7
L01_36_0,18:44:00,18:44:00,1,,ECSA:8,8
L01_36_0,18:45:00,18:45:00,1,,ECSA:9,9
L01_36_0,18:46:00,18:46:00,1,,118,10
L01_36_0,18:47:00,18:47:00,,,ECSA:11,11
L01_36_0,18:48:00,18:48:00,,,VA:1,12
L01_37_0,19:00:00,19:00:00,,,ECSA:1,1
L01_37_0,19:01:00,19:01:00,,,ECSA:2,2
L01_37_0,19:04:00,19:04:00,,,ECSA:3,3
L01_37_0,19:05:00,19:05:00,,,ECSA:4,4
L01_37_0,19:10:00,19:10:00,,,ECSA:5,5
L01_37_0,19:11:00,19:11:00,,,ECSA:6,6
L01_37_0,19:13:00,19:13:00,,,ECSA:7,7
L01_37_0,19:14:00,19:14:00,1,,ECSA:8,8
L01_37_0,19:15:00,19:15:00,1,,ECSA:9,9
L01_37_0,19:16:00,19:16:00,1,,118,10
L01_37_0,19:17:00,19:17:00,,,ECSA:11,11
L01_37_0,19:18:00,19:18:00,,,VA:1,12
L01_38_0,19:30:00,19:30:00,,,ECSA:1,1
L01_38_0,19:31:00,19:31:00,,,ECSA:2,2
L01_38_0,19:34:00,19:34:00,,,ECSA:3,3
L01_38_0,19:35:00,19:35:00,,,ECSA:4,4
L01_38_0,19:40:00,19:40:00,,,ECSA:5,5
L01_38_0,19:41:00,19:41:00,,,ECSA:6,6
L01_38_0,19:43:00,19:43:00,,,ECSA:7,7
L01_38_0,19:44:00,19:44:00,1,,ECSA:8,8
L01_38_0,19:45:00,19:45:00,1,,ECSA:9,9
L01_38_0,19:46:00,19:46:00,1,,118,10
L01_38_0,19:47:00,19:47:00,,,ECSA:11,11
L01_38_0,19:48:00,19:48:00,,,VA:1,12
L01_39_0,20:00:00,20:00:00,,,ECSA:1,1
L01_39_0,20:01:00,20:01:00,,,ECSA:2,2
L01_39_0,20:04:00,20:04:00,,,ECSA:3,3
L01_39_0,20:05:00,20:05:00,,,ECSA:4,4
L01_39_0,20:10:00,20:10:00,,,ECSA:5,5
L01_39_0,20:11:00,20:11:00,,,ECSA:6,6
L01_39_0,20:13:00,20:13:00,,,ECSA:7,7
L01_39_0,20:14:00,20:14:00,1,,ECSA:8,8
L01_39_0,20:15:00,20:15:00,1,,ECSA:9,9
L01_39_0,20:16:00,20:16:00,1,,118,10
L01_39_0,20:17:00,20:17:00,,,ECSA:11,11
L01_39_0,20:18:00,20:18:00,,,VA:1,12
L01_40_0,20:30:00,20:30:00,,,ECSA:1,1
L01_40_0,20:31:00,20:31:00,,,ECSA:2,2
L01_40_0,20:34:00,20:34:00,,,ECSA:3,3
L01_40_0,20:35:00,20:35:00,,,ECSA:4,4
L01_40_0,20:40:00,20:40:00,,,ECSA:5,5
L01_40_0,20:41:00,20:41:00,,,ECSA:6,6
L01_40_0,20:43:00,20:43:00,,,ECSA:7,7
L01_40_0,20:44:00,20:44:00,1,,ECSA:8,8
L01_40_0,20:45:00,20:45:00,1,,ECSA:9,9
L01_40_0,20:46:00,20:46:00,1,,118,10
L01_40_0,20:47:00,20:47:00,,,ECSA:11,11
L01_40_0,20:48:00,20:48:00,,,VA:1,12
L01_41_0,21:00:00,21:00:00,,,ECSA:1,1
L01_41_0,21:01:00,21:01:00,,,ECSA:2,2
L01_41_0,21:04:00,21:04:00,,,ECSA:3,3
L01_41_0,21:05:00,21:05:00,,,ECSA:4,4
L01_41_0,21:10:00,21:10:00,,,ECSA:5,5
L01_41_0,21:11:00,21:11:00,,,ECSA:6,6
L01_41_0,21:13:00,21:13:00,,,ECSA:7,7
L01_41_0,21:14:00,21:14:00,1,,ECSA:8,8
L01_41_0,21:15:00,21:15:00,1,,ECSA:9,9
L01_41_0,21:16:00,21:16:00,1,,118,10
L01_41_0,21:17:00,21:17:00,,,ECSA:11,11
L01_41_0,21:18:00,21:18:00,,,VA:1,12
L01_42_0,21:30:00,21:30:00,,,ECSA:1,1
L01_42_0,21:31:00,21:31:00,,,ECSA:2,2
L01_42_0,21:34:00,21:34:00,,,ECSA:3,3
L01_42_0,21:35:00,21:35:00,,,ECSA:4,4
L01_42_0,21:40:00,21:40:00,,,ECSA:5,5
L01_42_0,21:41:00,21:41:00,,,ECSA:6,6
L01_42_0,21:43:00,21:43:00,,,ECSA:7,7
L01_42_0,21:44:00,21:44:00,1,,ECSA:8,8
L01_42_0,21:45:00,21:45:00,1,,ECSA:9,9
L01_42_0,21:46:00,21:46:00,1,,118,10
L01_42_0,21:47:00,21:47:00,,,ECSA:11,11
L01_42_0,21:48:00,21:48:00,,,VA:1,12
L01_43_0,22:00:00,22:00:00,,,ECSA:1,1
